reference,value_or_part,pin_1,pin_1_net,pin_2,pin_2_net,pin_3,pin_3_net,pin_4,pin_4_net
A1,Adafruit 5906 Proto Doubler PiCowbell,Pico socket,ALL_PICO_HEADER_PINS,JST positive,VBAT,JST negative,GND,slide switch,3V3_EN
U1,Raspberry Pi Pico WH,36,+3V3,38,GND,39,VSYS,40,VBUS
R1,15 ohm 1 W,1,+3V3,2,IR_R_MID,,,,
R4,15 ohm 1 W,1,IR_R_MID,2,IR_LED_A,,,,
D1,Vishay TSAL6200,A,IR_LED_A,K,IR_SWITCH,,,,
Q1,Diotec BC337-40,C,IR_SWITCH,B,Q1_BASE,E,GND,,
R2,220 ohm,1,IR_TX,2,BASE_R_MID,,,,
R5,220 ohm,1,BASE_R_MID,2,Q1_BASE,,,,
R3,10 kohm,1,Q1_BASE,2,GND,,,,
C1,4.7 uF electrolytic,+,+3V3,-,GND,,,,
C2,100 nF ceramic,1,+3V3,2,GND,,,,
DS1,SSD1306 OLED module,VCC,+3V3,GND,GND,SDA,OLED_SDA,SCL,OLED_SCL
SW1,trigger button,1,BTN_TRIGGER,2,GND,,,,
SW2,reload button,1,BTN_RELOAD,2,GND,,,,
SW3,menu button,1,BTN_MENU,2,GND,,,,
R10,100 ohm,1,+3V3,2,RX_FRONT_VS,,,,
C10,100 nF ceramic,1,RX_FRONT_VS,2,GND,,,,
C11,4.7 uF electrolytic,+,RX_FRONT_VS,-,GND,,,,
U2,Vishay TSOP38238,1,RX_FRONT,2,GND,3,RX_FRONT_VS,,
R11,100 ohm,1,+3V3,2,RX_BACK_VS,,,,
C12,100 nF ceramic,1,RX_BACK_VS,2,GND,,,,
C13,4.7 uF electrolytic,+,RX_BACK_VS,-,GND,,,,
U3,Vishay TSOP38238,1,RX_BACK,2,GND,3,RX_BACK_VS,,
R12,100 ohm,1,+3V3,2,RX_LEFT_VS,,,,
C14,100 nF ceramic,1,RX_LEFT_VS,2,GND,,,,
C15,4.7 uF electrolytic,+,RX_LEFT_VS,-,GND,,,,
U4,Vishay TSOP38238,1,RX_LEFT,2,GND,3,RX_LEFT_VS,,
R13,100 ohm,1,+3V3,2,RX_RIGHT_VS,,,,
C16,100 nF ceramic,1,RX_RIGHT_VS,2,GND,,,,
C17,4.7 uF electrolytic,+,RX_RIGHT_VS,-,GND,,,,
U5,Vishay TSOP38238,1,RX_RIGHT,2,GND,3,RX_RIGHT_VS,,
