function,net,pico_gpio,pico_physical_pin,direction,active_level,notes
IR transmitter,IR_TX,GP0,1,output,high,"38 kHz carrier; PWM slice 0 channel A or PIO"
Trigger button,BTN_TRIGGER,GP2,4,input,low,"Switch to GND; enable internal pull-up"
Reload button,BTN_RELOAD,GP3,5,input,low,"Switch to GND; enable internal pull-up"
OLED data,OLED_SDA,GP4,6,bidirectional,n/a,"I2C0 SDA; also routed to PiCowbell STEMMA QT"
OLED clock,OLED_SCL,GP5,7,output,n/a,"I2C0 SCL; also routed to PiCowbell STEMMA QT"
Menu button,BTN_MENU,GP6,9,input,low,"Switch to GND; enable internal pull-up"
Front receiver,RX_FRONT,GP10,14,input,low,"TSOP38238 output; idle high"
Back receiver,RX_BACK,GP11,15,input,low,"TSOP38238 output; idle high"
Left receiver,RX_LEFT,GP12,16,input,low,"TSOP38238 output; idle high"
Right receiver,RX_RIGHT,GP13,17,input,low,"TSOP38238 output; idle high"
Logic and peripheral power,+3V3,n/a,36,power,n/a,"Feed breadboard positive rail from regulated 3.3 V only"
Common return,GND,n/a,38,power,n/a,"Feed breadboard ground rail; all grounds common"
Battery/system input,VSYS,n/a,39,power,n/a,"Managed by PiCowbell; do not use for the IR LED prototype"
USB input,VBUS,n/a,40,power,n/a,"Managed by Pico/PiCowbell; do not connect to breadboard positive rail"
